text,label
The project will cost 10 million,0
It will take 5 days to complete,0
The project will have 10 people,0
name will be assigned to the project,0
He will be the project leader,0
The project is on schedule,0
We can finish the project on schedule,0
It will have two groups of people,0
The cost of salaries is five million,0
The new building will be constructed,0
The cost is too high,0
He will work in the project,0
We will also recruit him,0
He will be promoted to manager,0
There are ten members in the team,0
He is removed from the team,0
He is added to the team,0
He will work with me,0
The deadline will need to be extended,0
The project will take too long,0
The project will finish in a couple of months,0
Completing this is our highest priority,0
We currently have 5 people working on it,0
client has asked to change some specifications,0
Maybe a couple of weeks,0
I will send the client an email,0
estimated the costs to be around,0
costs are estimated to be around,0
we have to discuss the,0
will get the approval from,0
regarding the application,0
We will meet again on the,0
arranged this meeting because,0
I have called this meeting in order to,0
here today to discuss,0
I would like to outline our plans for,0
"Before the next meeting, I want action completed",0
The presentation will cover these,0
change the date from date to date,0
main reason for this meeting is,0
we need to decide,0
we need to talk about,0
The best solution/ The best course of action would probably be,0
We should consider,0
Maybe we can decide this with a show of hands,0
so let's continue this discussion by email,0
We're going to have another meeting on,0
we will be talking about,0
Our main goal today is to,0
is going to tell us about,0
Our next meeting will be on,0
we need to look at,0
we've decided to,0
will be presenting the,0
cannot join us today,0
The purpose of this meeting is to,0
The main objective is to,0
will be the date for the next meeting,0
My phone number is,0
My email address is,0
The next step is to,0
To begin with,0
Lets start with,0
I would start by,0
The first thing you do is,0
The last step is,0
He salary will be ten million,0
The deadline will be changed,0
The project needs to be completed soon as possible,0
fire him from the project,0
He needs to be fired,0
We need to recruit more people,0
The law prevents us from,0
We need to change from to,0
is the most import thing,0
We need to build,0
Tell him to give me a call,0
The results from the project is,0
Client does not like the project,0
He is not satisfied with the project,0
Client is satisfied with the project,0
He will come for an inspection,0
The requirements have been changed,0
We have to change the structure,0
The system needs to be changed,0
The existing system/ architecture is,0
The project is expected to create,0
The revenue will be,0
The problems we have are,0
We have completed,0
These stages of the project are complete,0
We can complete the project by / in,0
should be finished as soon as possible,0
The client does not like,0
We need to report,0
Reports have to be created,0
Report is due on,0
The client has asked for,0
We need to look into the,0
We were informed that,0
The chief told us to,0
The team should,0
is currently being completed,0
is currently in progress,0
increase the wages of the staff,0
decrease the wages of the staff,0
tell the workers to do their job properly,0
clients disliked the way it was done,0
output should be better,0
need to extend the deadline,0
parts are running late,0
expand the project to include,0
expand the project across,0
to attract investor,0
marketing is high priority,0
expenses for marketing should be increased,0
allowance for should be increased,0
will handle the,0
We are developing an,0
we are aiming to do is,0
method that we going to use to,0
We will start off by working,0
we will start that initially with,0
The design is,0
expected to present it to our clients,0
We really need to push forward with this project,0
have it completed by the deadline,0
not interested in extensions,0
we could delay completion on,0
I finished the report,0
is responsible for presenting,0
we are here to discuss,0
we should have completed,0
sales figures are,0
we should focus on,0
I will need to take more,0
I can accept your terms,0
I am willing to offer,0
I think that we should discuss,0
We are not here to discuss,0
We are running out of time,0
should prepare these numbers for our meeting next,0
we need to focus,0
Ken cannot join us today,0
Mike will be standing in to,0
We are running behind schedule,0
have to cut this meeting short,0
I'm flying to New York at,0
we have been spending too much on,0
got a direct order from,0
Concerning the,0
taken the liberty of writing,0
I am the post of the company,0
We specialize in,0
business is expanding very rapidly,0
name cannot join us today,0
He is away at a meeting,0
I will take the necessary action,0
i second the motion,0
i propose the meeting to be accepted,0
higher portion of the budget should be,0
costs of equipment is too high,0
There is a better alternative called,0
we should cancel the order,0
we need to hire a,0
we need to get rid of,0
will take too much time,0
is very expensive,0
is much cheaper than the,0
i would like to inform about the,0
had adopted our school for their,0
in conjunction with the project,0
they are going to give us,0
we can make use of the,0
lets proceed to the,0
hope we can make use of,0
it will affect our,0
i assigned name to analyse the,0
this situation is not favourable for the company,0
have to assign a new team,0
the current team is not performing properly,0
we must take immediate action to,0
suggest that we modify the,0
we must focus on,0
we will have to,0
more money should be put into,0
should spend more on,0
cannot cover the costs of,0
is due for a promotion,0
salaries of the team should be increased,0
annual increase in salarie,0
annual performance review will be held on,0
we must overcome the,0
there will be severe consequences if,0
that will result in the,0
we should speed up,0
the progress reports are delay,0
the delay to project is not acceptable,0
the construction of building is going as planned,0
we have arrived at a problem,0
quality is not upto par,0
the damages must be dealt with quickly,0
remove him from the office immediately,0
the incident regarding the project should be kept secret,0
i will have to check with,0
we will get approval by,0
i was alerted of,0
we should look into,0
I received word that,0
we need to attract more clients,0
you are fired,0
