now im left with this gay name,Statement
:P,Other
PART,Other
hey everyone  ,Other
ah well,Statement
NICK :10-19-20sUser7,Other
10-19-20sUser7 is a gay name.,Other
.ACTION gives 10-19-20sUser121 a golf clap.,Other
:),Other
JOIN,Other
hi 10-19-20sUser59,Other
26/ m/ ky women that are nice please pm me,Statement
JOIN,Other
PART,Other
there ya go 10-19-20sUser7,Statement
don't golf clap me.,Other
fuck you 10-19-20sUser121:@,Other
whats everyone up to?,whQuestion
PART,Other
PART,Other
i'll thunder clap your ass.,Statement
PART,Other
and i dont even know what that means.,Other
that sounds painful,Statement
any ladis wanna chat? 29 m,ynQuestion
26/m,Statement
JOIN,Other
my cousin drew a messed up pic on my cast,Statement
PART,Other
24/m,Statement
boo.,Other
26/m and sexy,Statement
lol 10-19-20sUser115,Other
boo.,Other
JOIN,Other
PART,Other
he drew a girl with legs spread,Statement
boo.,Other
hope he didnt draw a penis,Statement
PART,Other
ewwwww lol,Other
& a head between her legs,Other
JOIN,Other
JOIN,Other
sounds good to me.,Other
r u serious,ynQuestion
JOIN,Other
PART,Other
"I'll take one, please.",Statement
& i have to go to the docs tomorrow,Statement
ya man,Other
I am too.. Connected to... Slip away... Fade away... Days away I... Still feel you... Touching me... Changing me... Considerably killing me... ,Statement
heeeey!,Other
don't you have a sharpie?,ynQuestion
26/m,Statement
you're back 10-19-20sUser115,Statement
10-19-20sUser129,Statement
yep,Other
10-19-20sUser115,Statement
Any ladies wanna chat with 24/m,ynQuestion
hurry ladies,Statement
PART,Other
JOIN,Other
JOIN,Other
not fast enough 10-19-20sUser116,Statement
a bowl i got a blunt an a bong......lol,Statement
JOIN,Other
"well, glad it worked out",Statement
my chair is too hard.,Statement
Anyone from Tennessee in here?,ynQuestion
hey ladies,Other
as am i,Other
is 10-19-20sUser68 back yet,ynQuestion
PART,Other
hey ,Other
PART,Other
JOIN,Other
10-19-20sUser121 is missing a B in her name,Statement
and i don't complain about things being hard very often.,Other
ok,Other
yes 10-19-20sUser30,Other
fire it up,Statement
Any women from Nashville in here?,ynQuestion
JOIN,Other
PART,Other
"and an an ""itch""",Statement
JOIN,Other
"yo, 10-19-20sUser133",Other
"or a ""ogan""",Other
are you a male?,ynQuestion
JOIN,Other
JOIN,Other
show will,Other
let's talk.,Statement
PART,Other
:),Other
haha,Other
brb,Other
opps,Other
JOIN,Other
PART,Other
sho*,Other
.ACTION keeps 10-19-20sUser115s place nice and warm.,Other
hey any guys with cams wanna play?,ynQuestion
.ACTION sits on 10-19-20sUser68's lap.,Other
JOIN,Other
JOIN,Other
any guyz wanna chat ,ynQuestion
hi there,Other
"boo, it's a female.",Statement
hey 10-19-20sUser126,Other
PART,Other
i wonna chat,Statement
PART,Other
24 f nc single mom,Statement
where did everyone gooo?,whQuestion
sure 10-19-20sUser126,Other
JOIN,Other
what did you but on e-bay,whQuestion
i feel like im in the wrong room,Statement
yeee haw 10-19-20sUser30,Other
"im considering changing my nickname to ""ihavehotnips""",Statement
JOIN,Other
"i don't want hot pics of a female, I can look in a mirror.",Statement
hi 10-19-20sUser64,Other
wb 10-19-20sUser139,Other
u should 10-19-20sUser44:),Other
PART,Other
PART,Other
JOIN,Other
single dad here,Statement
JOIN,Other
ty 10-19-20sUser68,Statement
PART,Other
JOIN,Other
Hi 10-19-20sUser139,Other
PART,Other
JOIN,Other
hi 10-19-20sUser138,Other
HAHAHA,Other
yw 10-19-20sUser139,Statement
"you should make it 'iamahotnip', 10-19-20sUser44",Statement
alright,Other
hi 10-19-20sUser139.,Other
you're fucking hot.,Statement
i thought of that!,Other
"hi 10-19-20sUser126, its so late",Other
lmao,Other
"ahah ""iamahotniplickme""",Statement
PART,Other
Hi 10-19-20sUser121,Other
in ny,Statement
.ACTION would lol @ 10-19-20sUser121 . . . but appearently she does not like that.,Other
cya later guys,Other
single white male 26,Statement
can't sleep huh?,ynQuestion
JOIN,Other
hi 10-19-20sUser139,Other
bye 10-19-20sUser20,Other
well 10-19-20sUser68 what did u buy,whQuestion
yeah i know,Other
:),Other
10-19-20sUser136.. get the hell outta my freaking PM box.. Im with my fiance!!!!!!!!!!!!!!!!,Other
answers for 10-19-20sUser139 ... hi 10-19-20sUser101 ;),Statement
"I like it when you do it, 10-19-20sUser83",Statement
iamahotnipwithpics,Statement
10-19-20sUser20 go plan the wedding! :P,Other
first warning !!!!!,Other
PART,Other
JOIN,Other
uh huh ,Other
A gold jeep charm for my necklace 10-19-20sUser30,Statement
make sure u buy a nice ring for 10-19-20sUser6,Statement
lol 10-19-20sUser7,Other
Hi 10-19-20sUser115,Other
.ACTION isnt falling for that one again.,Other
10-19-20sUser136.. get the hell in my freaking PM box.. I have no fiance!!!!!!!,Other
right on,Other
i have one already 10-19-20sUser7... yayayayayyy!!,Statement
OOooOO:),Other
how you doin 10-19-20sUser139,whQuestion
lmaoo 10-19-20sUser121,Other
'iamahotnipwithhotnippics,Statement
',Other
how many kts,whQuestion
any single white females?,ynQuestion
off off?,ynQuestion
really?,ynQuestion
"Just fine thanks, how are you?",whQuestion
that sounds freakishly like dr seuss,Statement
"wow. twice, I'm impressed.",Statement
PART,Other
hiya room,Other
lmao!!!,Other
im doin alright thanks,Statement
omg,Other
"Finger.. Deep within the borderline.. Show me that you love me, and that we belong together... Relax.. Turn around.. And take my.. Hand.. ",Statement
I just laughed,Statement
didnt even look hang on,Statement
finger?,ynQuestion
yay!,Other
PART,Other
that's such a DIRTY word.,Other
oh its 14k,Other
10-19-20sUser141... get outta my PM Box.. didnt ya hear!!!!,Other
PART,Other
JOIN,Other
geeshhh,Other
lol 10-19-20sUser6,Other
PART,Other
hes deaf,Statement
ppl here dont get it,Statement
"10-19-20sUser6,",Statement
!hug 10-19-20sUser115,Statement
.ACTION watches 10-19-20sUser6 hug the stuffin' outta 10-19-20sUser115....,Other
you can forward the pervs to me.,Other
.ACTION hugs 10-19-20sUser6.,Other
any girls wanna chat with 24/m,ynQuestion
please behave baby boy.. I gottsa go now,Statement
"Only for the dirty minded, 10-19-20sUser121.",Statement
ima behave,Statement
yes 10-19-20sUser121??,whQuestion
PART,Other
aww 10-19-20sUser6 have fun,Statement
forwads away from 10-19-20sUser121,Statement
i already wrote what i wanted you to read.,Statement
theres nobody here i wanna misbeahve with lol,Statement
JOIN,Other
so read it.,Statement
thanks 10-19-20sUser7.. Im happy to have my fiance here!!,Other
forwads?,whQuestion
JOIN,Other
22/m/wa any ladies want to chat,ynQuestion
can i talk to him!!,ynQuestion
lol 10-19-20sUser121!!!,Other
forwards too,Other
lol,Other
JOIN,Other
ALL PErvs... redirect to 10-19-20sUser121's PM VBox!!!,Other
PART,Other
I'll take all that I can get.,Statement
JOIN,Other
PART,Other
who is he 10-19-20sUser6?,whQuestion
i hate it when my devotion to christianity is questioned.,Statement
10-19-20sUser121,Statement
who honey??,whQuestion
Depends,Statement
Hi all 31/m/CA,Other
10-19-20sUser115 is having my babies 10-19-20sUser20,Statement
yep,Other
lmao 10-19-20sUser7!!!,Other
.ACTION laughs.,Other
:),Other
PART,Other
"your fiance, do you know his handle?",ynQuestion
On what kinda pervs your lookin for,whQuestion
"what, 10-19-20sUser92.",whQuestion
JOIN,Other
little jerks & jerkettes,Statement
i love jesus more than ANYONE ELSE,Other
lolololll serg!!!,Other
handle?,whQuestion
oh well,Statement
beeehave,Statement
and he loves ME the most,Other
i love myself,Statement
JOIN,Other
lol 10-19-20sUser44 how do u know that,whQuestion
what?,whQuestion
jerkettes?? lmao,whQuestion
CO?,ynQuestion
well if we have girls,Statement
i didnts say anithing wrong...,Statement
i can see it in his eyes,Statement
lol,Other
10-19-20sUser20=fiance,Statement
Jerketts,Statement
lmao,Other
wtf,whQuestion
yah I know honey!,Other
JOIN,Other
girl jerk kids,Statement
awwwwww,Other
you guys type too much. shut the fuck up.,Other
girl jerks??,ynQuestion
.ACTION gives 10-19-20sUser68 a nice massage.,Other
u shut the fuck up,Other
PART,Other
no i dont want daughters!!,Other
ur annoying,ynQuestion
.ACTION Now Playing - Cradle of Filth - A Gothic Romance (Red Roses For The Devil's Whore).,Other
JOIN,Other
i want daughters 10-19-20sUser115!,Other
:(,Other
10-19-20sUser30 = gettign cooler by the minute,Statement
what'd I miss?,whQuestion
lol,Other
noo there too much work!,Other
why not?? girls are nice honey!!!,whQuestion
10-19-20sUser116,Statement
PART,Other
10-19-20sUser7,Statement
PART,Other
there is not!,Other
heyy 10-19-20sUser148,Other
i hate you.,Other
boys are naughtier,Statement
10-19-20sUser92.,Statement
JOIN,Other
bye  10-19-20sUser148,Other
Hmm,Statement
you I hate you say..,Statement
Guess what,Statement
PART,Other
i hate you 10-19-20sUser121 fuck your ugly,Statement
JOIN,Other
if i had a daughter she would regret me bein her dad,Statement
huh?,whQuestion
Hmm,Statement
PART,Other
What?,whQuestion
aw 10-19-20sUser115 whys that,whQuestion
deep inside 10-19-20sUser121 wants what she hates,Statement
JOIN,Other
ahahah 10-19-20sUser7!!,Other
id put caution tape all around her,Statement
Your phone sexs is the best,ynQuestion
---------> 27 M UK (pic in profile),Statement
Lmfao,Other
dr phil said so,Statement
I am ugly?,ynQuestion
PART,Other
wouldnt let her date,Other
Isn't it? =-\,ynQuestion
aww.,Other
i feel bad now.,Statement
"10-19-20sUser7, try to arrange your words so they form coherent thoughts",Statement
PART,Other
.ACTION -sits in the corner-.,Other
JOIN,Other
phone 10-19-20sUser92?,whQuestion
hello 10-19-20sUser84,Other
.ACTION sits with 10-19-20sUser92.,Other
hmph.,Statement
i hate you 10-19-20sUser68. does that mean I want you?,ynQuestion
10-19-20sUser6,Statement
hello room,Other
lol 10-19-20sUser83,Other
and this.. has been the grammar lesson of the day courtesy of: 10-19-20sUser84!,Other
PART,Other
JOIN,Other
yes 10-19-20sUser115?,whQuestion
.ACTION pokes 10-19-20sUser116.,Other
if your fiance is still here could i talk to him?,ynQuestion
.ACTION counter pokes.,Other
wait i didnt me phone you . . .  sheesh now im that phone perv guy,Statement
lets hope not 10-19-20sUser121,Statement
PART,Other
yes 10-19-20sUser115!!!!,Other
of course,Other
lets,Statement
woohoo!,Other
any girls wanna chat?  24/m,ynQuestion
JOIN,Other
I think I am the exception to the rule,Statement
he's in PM land now though,Statement
lol,Other
ah ok,Other
i wont bug em then,Statement
someone wanna find me a cheap flight to spain?,ynQuestion
i need to go this summer.,Statement
im a HUGE phone perv,Other
ok seriously who was the dumbass that signed kev fetterline a rap deal????,whQuestion
it's an emergency.,Statement
JOIN,Other
Ug .. no shit?,ynQuestion
il get u a cheap flight to hell:),Statement
lmao,Other
bbl maybe,Other
PART,Other
LOL,Other
lol 10-19-20sUser7,Other
"it was me, 10-19-20sUser83",Statement
hahah 10-19-20sUser83!,Other
8082653953,Statement
K-Fed got his ass kicked.. Lol,Statement
