st,type
PART,Other
hey 11-09-40sUser15,Other
white shoes and all?,ynQuestion
PART,Other
why were you standing in the first place,whQuestion
that would suck,Statement
hey wuts up in here tonite ?,Other
no,Other
Did you meet John yesterday?,ynQuestion
11-09-teensUser156!,Other
oh no 10-19-40sUser34,Other
what do you need a battery charger for 10-19-adultsUser28?,whQuestion
cool,Statement
PART,Other
"your profile pics, thats the joke",Statement
i just thought it was original,Statement
PART,Other
JOIN,Other
whjat is not a word 10-19-30sUser17... lol,Statement
Im with 10-26-teensUser66 on that one,Other
hi 10-24-40sUser1,Other
hey 11-08-adultsUser28,Other
JOIN,Other
JOIN,Other
Am I going with you and Tom?,ynQuestion
I heart gay people,Statement
11-09-40sUser18.....that could either be scary or a heck of a lot of fun ;),Statement
google's start page.. lol,Statement
well dayum 11-08-adultsUser70,Statement
ummm,Statement
hes deaf,Statement
tc 11-09-40sUser31,Other
PART,Other
i may pop in  or just moonie you as i go past one day!!!!!!,Other
<- defragging my disc drive.. how LONG does this take?  Been over an hour now!,Other
JOIN,Other
JOIN,Other
I have a temp of 102.6 go me lol,Statement
hahahahahahahahahahahahahahahaha,Other
PART,Other
hi ppl,Other
anyone else please with the results today?,ynQuestion
any hot girls wanna chat w/a college guy,ynQuestion
i like it,Statement
hey,Other
darwin didn't contribute anything to common sense.. his theory is after all still a theory,Statement
11-09-adultsUser29,Statement
you could be leaving the computer periodically and only being confused by the conversation when you actually sit down??,ynQuestion
Let's try this again one more guy pms me and is a jerk or pervert u are getting ignored period. ok don't like it then don't pm me,Statement
lol,Other
JOIN,Other
lol 11-08-adultsUser65,Other
.ACTION slaps 10-26-teensUser110 around a bit with a large .A.n.a.c.?.n.?.a.,Other
nah,Other
JOIN,Other
I am going to eat! ,Other
u just dont know,Statement
beer,Statement
whats balck and blue and scared of sex?,whQuestion
anyone wanna chat,ynQuestion
mmmmmmmmmm,Statement
k,Other
11-08-40sUser25 the red X is bad..say far far away.........lol,Statement
JOIN,Other
hi 11-08-40sUser30,Other
Anyone wanna Whisper,ynQuestion
PART,Other
haha,Other
o.O,Other
hheeyy guyzz i just joined,Statement
What were your responsibilities?,whQuestion
"brb, phone again, where is 10-24-40sUser26, he is supposed to answer it",Other
i presume,Other
where?,whQuestion
10-24-40sUser49,Statement
gets me all tingly n stuff,Statement
